,broad_zone,place,mean_lot_size,median_lot_size
381,Single Family,Seagoville,19644.697519776644,8459.9307575
382,Single Family,Shady Shores,29461.29863438942,21323.6953125
383,Single Family,Southlake,30293.04232055504,20536.5
384,Single Family,St. Paul,67845.2664560557,63276.03332086801
385,Single Family,Sunnyvale,38652.59451957511,19410.72463525
386,Single Family,The Colony,7565.984335840756,7051.86572265625
387,Single Family,Trophy Club,12259.618830643301,11722.18505859375
388,Single Family,Unincorporated,51302.59936659989,40090.005562469436
389,Single Family,University Park,10200.642364624406,8997.73989625
390,Single Family,Watauga,7958.309410883675,7388.5
391,Single Family,Westlake,44653.222731518654,36031.5
392,Single Family,Westminster,63241.500635784316,47229.248885716464
393,Single Family,Weston,46321.473572964365,25962.724785922095
394,Single Family,Westover Hills,53118.47463768116,29764.0
395,Single Family,Westworth Village,13327.785100286534,8000.0
396,Single Family,White Settlement,9696.381559058518,8301.0
397,Single Family,Wilmer,16013.23765653717,8134.3522
398,Single Family,Wylie,9952.961162870612,8559.800447390404
